"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11600","690","813.35","659.1","760.1","764","760.1","583","5390.53","318.43","40650","4350","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11650","0","0","0","1310.65","0","809.25","0","0","0","0","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11700","787.15","924.45","765","857.95","857.95","857.95","37","348.5","23.82","25875","300","10792.5"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11750","0","0","0","1392.9","0","1020.8","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11800","953.7","1070.15","953.7","1059.95","1059.95","1059.95","7","67.38","5.43","6750","75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11850","0","0","0","1368.1","0","1117.95","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11900","1073.35","1171.5","1073.35","1171.5","1171.5","1171.5","3","29.3","2.52","32325","-75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11950","0","0","0","1314.35","0","1215.9","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12000","1160","1274.65","1134.25","1266.3","1266.9","1266.3","360","3568.1","328.1","825525","3750","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12050","0","0","0","1396.8","0","1314.4","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12100","1233.35","1368.05","1232.45","1368.05","1368.05","1368.05","4","40.1","3.8","21375","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12150","0","0","0","1329.4","0","1413.3","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12200","1334.2","1471.05","1334.2","1470","1468.95","1470","6","61.36","6.46","33450","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12250","0","0","0","1345.55","0","1512.4","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12300","0","0","0","1469","1469","1562","0","0","0","7200","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12350","0","0","0","1355.5","0","1611.65","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12400","1580","1670.25","1536","1662.8","1663.35","1662.8","816","8571.6","982.8","549225","-28875","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","12450","1710","1710","1710","1710","1710","1710","1","10.62","1.28","6900","-75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8550","2.15","2.15","1.2","1.55","1.55","1.55","29","186",".04","9675","1275","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8600","2.2","2.4","1.7","1.85","1.7","1.85","140","903.22",".22","60750","-750","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8650","0","0","0","31.05","0","0","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8700","2.1","2.1","2.1","2.1","2.1","2.1","1","6.53","0","375","75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8750","0","0","0","38.9","0","0","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8800","0.6","2.2","0.6","2.2","2.2","2.2","3","19.8","0","300","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8850","0","0","0","48.3","0","0","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8900","3.8","3.8","3.8","3.8","3.8","3.8","1","6.68","0","8325","75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","8950","0","0","0","59.4","0","0.05","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9000","3.9","4.5","3.7","3.85","3.85","3.85","2941","19860.48","8.73","1426950","33600","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9050","0","0","0","72.4","0","0.05","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9100","3.45","4.1","3.35","3.8","4.1","3.8","48","327.73",".13","17325","975","10672.25"
